Country,Region,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13
Kyrgyz Republic,Asia-Pacific,49.90,27.90,27.20,94.10,54.20,78.40,73.40,79.80,74.40,78.60,60.00,50.00,62.30,23.00,4.50,5.40,3667.00,7.30,3.20,93.80,59.10,3.20,10.00,10.00,19.70,39.10
Laos,Asia-Pacific,38.80,42.50,33.50,86.90,85.30,66.50,60.10,60.10,78.50,81.80,35.00,20.00,57.40,49.20,6.80,7.40,7366.00,0.70,0.80,813.00,62.80,1.60,24.00,24.00,12.80,22.10
Latvia,Europe,67.30,48.40,35.50,77.00,57.10,96.90,77.50,73.30,81.10,86.00,85.00,60.00,70.40,53.90,4.50,2.80,27644.00,8.70,2.90,721.20,34.80,2.00,31.40,20.00,30.20,37.80
Lebanon,Middle East and North Africa,39.50,26.60,18.20,91.80,75.60,0.00,47.90,46.50,78.10,79.00,60.00,50.00,51.10,87.70,1.20,1.50,19439.00,6.60,4.50,2628.00,152.80,3.00,20.00,15.00,13.80,28.50
Lesotho,Sub-Saharan Africa,41.50,45.70,30.90,59.40,33.00,63.50,53.30,58.80,75.00,81.00,55.00,40.00,53.10,7.00,3.10,2.80,3581.00,27.30,5.60,135.00,34.70,2.00,35.00,25.00,47.00,47.30
Liberia,Sub-Saharan Africa,26.70,39.00,24.20,82.70,62.10,69.10,50.60,38.30,68.90,60.10,55.00,20.00,49.70,6.10,2.50,2.10,1354.00,2.40,12.40,247.80,34.40,12.40,25.00,25.00,21.80,35.50
Lithuania,Europe,73.60,61.20,47.80,86.40,65.10,97.30,75.20,63.60,84.60,86.00,80.00,70.00,74.20,91.20,3.80,3.00,32299.00,7.10,3.70,595.40,36.50,2.00,15.00,15.00,30.20,34.10
Luxembourg,Europe,83.00,72.40,85.80,65.40,46.60,98.90,68.80,45.90,82.60,86.00,95.00,80.00,75.90,62.70,3.50,3.80,106374.00,5.50,2.10,6622.70,23.00,2.00,42.00,18.00,37.10,42.20
Macau,Asia-Pacific,60.00,60.00,33.20,77.10,90.40,100.00,60.00,50.00,76.50,90.00,85.00,70.00,71.00,71.80,9.30,-0.60,111629.00,2.00,1.20,1996.80,0.00,0.00,12.00,39.00,25.00,17.90
Macedonia,Europe,65.10,60.70,44.70,91.80,70.00,82.90,80.20,71.50,78.70,82.00,65.00,60.00,71.10,31.00,0.00,2.70,14914.00,22.40,1.40,256.30,39.30,4.00,10.00,10.00,24.80,31.60
Madagascar,Sub-Saharan Africa,33.20,24.40,14.30,91.00,91.80,85.50,47.30,44.60,72.40,69.20,55.00,50.00,56.60,39.70,4.10,3.40,1551.00,1.80,8.10,389.10,37.30,7.90,20.00,20.00,10.10,16.60
Malawi,Sub-Saharan Africa,35.80,40.10,25.20,79.80,70.30,19.10,41.70,64.00,65.50,75.40,50.00,50.00,51.40,22.40,4.00,4.00,1167.00,5.90,11.50,277.10,59.30,4.80,30.00,30.00,14.80,31.50
Malaysia,Asia-Pacific,84.10,68.20,55.40,85.60,83.20,82.40,83.90,74.40,78.60,82.00,60.00,50.00,74.00,930.80,5.90,5.20,29041.00,3.40,3.80,9543.40,54.20,4.00,25.00,25.00,13.80,23.70
Maldives,Asia-Pacific,43.90,36.40,33.50,95.80,60.80,10.70,78.30,70.80,81.00,62.60,35.00,30.00,53.20,6.90,4.80,5.20,19151.00,5.00,2.80,517.50,68.10,11.20,0.00,0.00,20.50,36.10
Mali,Sub-Saharan Africa,33.70,33.40,29.60,68.70,85.40,84.20,53.80,52.20,81.60,69.80,65.00,40.00,58.10,41.00,5.30,5.30,2170.00,7.90,1.80,265.60,35.60,7.60,40.00,35.00,17.60,22.10
Malta,Europe,69.80,50.40,50.30,64.20,56.10,94.50,67.10,61.30,78.20,86.00,85.00,60.00,68.60,19.30,6.60,6.90,41945.00,4.00,1.30,3185.20,52.60,2.00,35.00,35.00,33.60,38.30
Mauritania,Sub-Saharan Africa,27.50,30.60,30.60,78.00,74.20,80.60,61.90,51.50,81.20,62.60,50.00,40.00,55.70,17.30,3.20,3.50,4444.00,9.90,2.30,329.60,91.10,8.70,30.00,25.00,25.90,29.30
Mauritius,Sub-Saharan Africa,69.50,62.10,40.30,92.10,80.30,73.60,79.80,60.80,79.40,88.40,80.00,70.00,73.00,27.50,3.90,3.60,21640.00,7.10,3.70,292.70,60.20,0.80,15.00,15.00,18.40,25.60
Mexico,Americas,59.10,34.90,26.30,75.80,78.20,83.20,67.80,58.60,75.90,81.40,75.00,60.00,64.70,2458.40,2.00,2.50,19903.00,3.40,6.00,29695.00,54.20,4.30,35.00,30.00,17.20,26.90
Moldova,Europe,55.20,29.60,25.40,85.40,59.10,92.00,67.00,39.00,73.50,78.00,55.00,50.00,59.10,20.10,4.00,4.40,5661.00,4.50,6.60,213.80,37.70,3.50,18.00,12.00,31.50,36.90
Mongolia,Asia-Pacific,48.20,23.80,29.80,88.50,63.10,6.20,66.00,75.00,77.80,75.80,50.00,60.00,55.40,39.70,5.10,5.70,12979.00,7.00,4.60,1494.40,91.40,4.60,10.00,25.00,20.70,35.10
Montenegro,Europe,55.40,51.80,39.50,85.30,32.60,23.20,73.30,73.40,81.60,84.70,75.00,50.00,60.50,11.00,4.20,3.20,17736.00,16.10,2.40,545.90,67.50,2.60,9.00,9.00,36.10,47.40
Morocco,Middle East and North Africa,57.20,47.10,39.20,72.20,72.70,66.90,70.30,33.10,83.50,77.40,65.00,70.00,62.90,298.60,4.20,3.40,8567.00,9.30,0.80,2651.40,64.40,3.80,38.00,30.00,20.90,30.20
Mozambique,Sub-Saharan Africa,33.90,35.20,28.10,75.50,66.90,16.60,57.10,42.00,65.40,78.00,35.00,50.00,48.60,36.70,3.00,5.60,1244.00,25.00,15.30,2293.10,102.20,3.50,32.00,32.00,20.20,33.20
Namibia,Sub-Saharan Africa,55.90,54.70,49.80,66.50,48.90,15.70,65.80,85.10,74.40,83.00,65.00,40.00,58.70,26.50,-1.20,3.60,11312.00,23.30,6.10,416.00,46.10,1.00,37.00,34.00,28.60,41.30
Nepal,Asia-Pacific,39.20,34.70,26.20,84.00,83.70,98.50,61.80,47.90,69.40,60.40,10.00,30.00,53.80,78.60,7.50,4.30,2679.00,2.70,4.50,198.00,27.20,12.30,25.00,25.00,18.70,23.30
Netherlands,Europe,88.00,74.70,89.10,51.60,42.90,93.30,81.40,60.30,84.00,86.00,90.00,80.00,76.80,916.10,3.10,1.80,53635.00,4.80,1.30,57956.70,56.70,2.00,52.00,25.00,38.80,43.60
New Zealand,Asia-Pacific,95.00,83.50,96.70,71.00,50.40,98.60,91.00,86.70,87.50,92.40,80.00,80.00,84.40,188.60,3.00,3.30,38934.00,4.90,1.90,3572.00,26.40,1.30,33.00,28.00,32.10,40.70
Nicaragua,Americas,33.40,18.70,20.30,76.90,79.10,93.90,56.00,55.80,72.70,76.00,60.00,50.00,57.70,36.40,4.90,4.80,5849.00,4.40,3.90,896.60,33.60,2.00,30.00,30.00,22.60,26.40
Niger,Sub-Saharan Africa,37.20,31.00,34.10,76.90,75.60,22.20,56.30,48.20,76.70,65.80,55.00,40.00,51.60,21.80,5.20,5.40,1164.00,0.40,2.40,334.30,46.50,9.60,35.00,30.00,13.50,28.50
Nigeria,Sub-Saharan Africa,36.50,34.30,20.50,85.00,96.50,68.20,51.20,83.30,65.00,62.40,45.00,40.00,57.30,1118.80,0.80,2.70,5929.00,7.00,16.50,3503.00,23.40,11.30,24.00,30.00,5.20,10.80
Norway,Europe,86.10,81.20,92.30,57.40,25.30,97.30,89.40,53.70,75.40,83.20,75.00,60.00,73.00,380.00,1.80,1.60,71831.00,4.20,1.90,-8296.90,36.70,3.40,47.80,23.00,38.00,49.90
Oman,Middle East and North Africa,58.10,51.60,53.80,97.80,32.50,16.10,75.20,57.30,77.70,87.00,65.00,60.00,61.00,186.60,-0.30,2.70,45157.00,3.30,1.60,1867.40,44.20,1.50,0.00,12.00,8.50,47.40
Pakistan,Asia-Pacific,41.50,40.20,30.60,80.50,87.60,49.20,56.10,41.80,72.60,64.80,55.00,40.00,55.00,1057.00,5.30,4.30,5358.00,4.00,4.10,2806.00,67.20,10.10,30.00,30.00,12.40,20.30
Panama,Americas,60.40,30.10,34.10,85.00,85.30,91.30,73.60,43.40,79.40,79.20,75.00,70.00,67.20,103.90,5.40,5.80,25351.00,4.50,0.90,5319.20,38.20,5.40,25.00,25.00,15.80,22.20
Papua New Guinea,Asia-Pacific,37.40,49.00,37.20,71.80,89.10,75.20,62.20,72.60,70.00,80.90,25.00,30.00,58.40,30.30,2.50,5.80,3675.00,2.70,5.20,-200.50,32.60,2.00,42.00,30.00,12.50,19.10
Paraguay,Americas,39.50,30.00,25.50,96.30,78.90,96.30,61.50,29.20,72.80,76.60,75.00,60.00,61.80,68.30,4.30,6.00,9826.00,4.60,3.60,355.80,25.60,4.20,10.00,10.00,13.00,26.50
Peru,Americas,56.10,34.00,31.80,80.60,86.10,88.50,67.80,63.50,83.90,86.40,75.00,60.00,67.80,424.40,2.50,3.60,13334.00,3.60,2.80,6769.50,25.50,1.80,30.00,28.00,16.00,21.50
Philippines,Asia-Pacific,48.70,36.40,30.90,76.90,88.70,97.10,61.30,57.90,69.60,78.20,60.00,60.00,63.80,875.60,6.70,6.60,8315.00,2.40,3.20,9524.30,37.80,3.40,35.00,30.00,13.70,19.40
Poland,Europe,62.30,44.00,49.80,74.90,48.80,86.40,65.40,63.90,82.10,86.00,80.00,70.00,67.80,1121.00,4.60,3.20,29521.00,4.90,2.00,6433.50,51.40,2.00,32.00,19.00,33.60,41.30
Portugal,Europe,71.50,64.30,59.50,59.90,35.60,69.80,79.70,44.30,83.00,86.00,70.00,60.00,65.30,313.40,2.70,1.20,30417.00,8.90,1.60,6945.60,125.60,2.00,48.00,23.00,34.40,46.30
Qatar,Middle East and North Africa,64.50,60.00,77.40,99.70,56.80,94.00,71.20,65.90,78.40,83.20,60.00,60.00,72.60,340.60,2.10,3.30,124529.00,0.10,0.40,986.00,54.00,3.40,0.00,0.00,5.70,37.90
Romania,Europe,66.70,51.90,39.80,89.70,69.00,89.30,63.10,64.50,82.70,86.00,70.00,50.00,68.60,481.50,7.00,4.50,24508.00,4.90,1.30,5160.00,36.90,2.00,10.00,16.00,26.00,32.10
Russia,Europe,52.40,45.10,36.60,89.40,62.30,86.60,78.40,52.50,65.10,77.80,30.00,30.00,58.90,4007.80,1.50,0.30,27834.00,5.20,3.70,25284.00,17.40,3.60,13.00,20.00,22.20,35.40
Rwanda,Sub-Saharan Africa,72.20,83.20,67.90,79.80,79.40,86.30,56.20,82.20,76.10,70.40,60.00,40.00,71.10,24.60,6.10,6.70,2080.00,1.30,4.80,366.20,40.60,7.30,30.00,30.00,15.00,26.20
Saint Lucia,Americas,65.90,63.80,50.30,76.20,79.30,81.30,76.30,69.20,83.90,73.20,65.00,40.00,68.70,2.50,3.00,1.90,14450.00,21.00,0.10,92.40,71.30,5.90,30.00,30.00,24.00,26.30
Saint Vincent and the Grenadines,Americas,36.50,63.80,50.50,71.20,74.30,85.00,76.50,73.50,82.20,66.60,70.00,40.00,65.80,1.30,1.00,1.10,11491.00,18.30,2.00,87.10,80.80,9.20,32.50,33.00,27.10,29.30
Samoa,Asia-Pacific,53.80,31.00,37.70,79.90,62.30,93.60,77.00,78.20,83.50,63.80,55.00,30.00,62.20,1.10,2.40,2.10,5740.00,8.20,1.30,9.00,49.10,10.60,27.00,27.00,23.60,35.50
São Tomé and Príncipe,Sub-Saharan Africa,37.40,26.60,35.50,87.20,67.00,62.30,65.10,42.70,70.50,64.20,60.00,30.00,54.00,0.70,4.00,4.10,3180.00,13.50,5.50,41.00,83.30,10.40,20.00,25.00,15.90,33.20
Saudi Arabia,Middle East and North Africa,55.00,62.70,49.80,99.80,57.50,19.40,72.30,63.30,78.10,76.00,45.00,50.00,60.70,1773.60,-0.70,2.30,54777.00,5.50,-0.90,1421.00,17.30,4.50,2.50,2.50,3.40,37.60
Senegal,Sub-Saharan Africa,47.80,40.40,40.30,70.80,73.30,60.00,53.30,39.40,78.20,72.00,60.00,40.00,56.30,43.20,7.20,5.60,2727.00,4.90,1.40,532.30,61.20,9.00,40.00,30.00,20.40,29.80
Serbia,Europe,50.10,44.80,37.20,82.00,45.10,90.10,72.90,67.40,80.00,77.00,70.00,50.00,63.90,105.50,1.80,1.20,15000.00,14.10,3.10,2866.70,61.50,6.50,10.00,15.00,38.40,42.80
Sierra Leone,Sub-Saharan Africa,35.50,34.50,26.20,87.30,84.40,13.20,44.90,29.30,65.00,69.40,60.00,20.00,47.50,11.50,3.50,2.90,1553.00,4.50,18.00,560.00,58.40,10.30,15.00,30.00,12.20,22.80
Singapore,Asia-Pacific,97.40,92.40,95.10,90.40,90.70,80.00,90.80,91.00,85.30,94.80,85.00,80.00,89.40,527.00,3.60,3.50,93906.00,2.00,0.60,62006.00,110.90,0.10,22.00,17.00,13.70,17.60
Slovakia,Europe,68.50,37.20,37.70,78.60,46.10,87.20,61.30,53.40,78.60,86.00,75.00,70.00,65.00,179.40,3.40,3.00,33025.00,8.10,1.30,2276.70,50.40,2.00,25.00,21.00,32.70,42.40
Slovenia,Europe,76.40,46.50,53.60,58.40,38.30,82.60,79.30,61.20,83.60,86.00,70.00,50.00,65.50,71.10,5.00,2.50,34407.00,6.60,1.40,702.00,75.40,2.00,50.00,17.00,37.00,45.40
Solomon Islands,Asia-Pacific,49.90,51.70,33.50,65.50,36.50,89.40,68.60,72.00,86.00,56.80,15.00,30.00,54.60,1.30,3.20,2.90,2157.00,2.10,-0.40,36.50,10.00,14.10,40.00,30.00,30.80,46.00
South Africa,Sub-Saharan Africa,58.80,39.30,39.70,62.10,67.60,62.60,64.30,59.10,75.20,76.00,45.00,50.00,58.30,765.60,1.30,1.50,13545.00,27.30,5.30,1324.70,52.70,4.50,45.00,28.00,31.30,32.80
Spain,Europe,72.90,51.40,51.90,62.30,46.20,51.10,66.80,57.80,87.50,86.00,85.00,70.00,65.70,1773.90,3.10,1.90,38286.00,17.20,2.00,19086.10,98.40,2.00,45.00,25.00,33.50,42.30
Sri Lanka,Asia-Pacific,44.70,39.40,28.90,84.90,88.30,30.40,75.10,58.80,70.10,76.20,40.00,40.00,56.40,274.70,3.10,4.20,12811.00,4.10,6.50,1374.90,79.40,4.40,24.00,28.00,12.30,19.80
Sudan,Sub-Saharan Africa,27.50,22.20,26.20,86.30,96.60,76.10,52.10,59.00,56.90,45.00,5.00,20.00,47.70,187.00,3.20,3.00,4586.00,12.70,32.40,1065.30,126.00,17.50,10.00,35.00,6.70,10.60
Suriname,Americas,49.10,22.20,35.50,70.90,77.20,9.60,48.30,73.50,56.00,64.60,40.00,30.00,48.10,8.50,0.00,-0.90,14606.00,8.10,22.00,-87.30,72.10,10.20,38.00,36.00,13.20,27.60
Sweden,Europe,89.50,84.00,88.00,43.20,26.70,96.60,88.00,53.90,82.00,86.00,85.00,80.00,75.20,520.90,2.40,2.80,51475.00,6.70,1.90,15395.70,40.90,2.00,57.00,22.00,44.10,49.40
Switzerland,Europe,85.30,82.00,88.00,70.50,64.80,96.30,75.40,72.50,85.20,87.40,85.00,90.00,81.90,517.20,1.10,1.60,61422.00,4.80,0.50,40986.10,42.80,1.30,40.00,24.00,27.80,34.30
Taiwan ,Asia-Pacific,85.40,70.10,69.20,75.00,90.60,91.60,93.20,60.90,84.40,87.00,60.00,60.00,77.30,1185.50,2.80,2.20,50294.00,3.80,0.60,3255.00,35.20,1.50,45.00,20.00,8.90,17.70
Tajikistan,Asia-Pacific,47.80,52.10,36.40,91.80,64.60,60.30,67.30,49.20,68.50,73.60,25.00,30.00,55.60,28.40,7.10,6.80,3212.00,10.30,7.30,141.30,47.80,5.70,13.00,15.00,20.60,34.30
Tanzania,Sub-Saharan Africa,35.40,41.40,33.20,80.50,90.30,85.20,46.60,66.20,70.40,67.80,55.00,50.00,60.20,162.20,6.00,6.80,3240.00,2.20,5.30,1180.40,38.20,8.60,30.00,30.00,12.40,18.00
Thailand,Asia-Pacific,53.70,45.90,36.40,81.30,85.80,96.50,82.50,63.90,75.20,83.00,55.00,60.00,68.30,1233.70,3.90,2.80,17856.00,1.10,0.70,7635.20,41.90,3.50,35.00,20.00,15.60,21.80
Timor-Leste,Asia-Pacific,29.70,13.10,32.10,96.30,0.90,20.00,60.50,58.80,79.50,75.00,45.00,20.00,44.20,6.80,-0.50,3.10,5444.00,3.40,0.60,6.70,0.00,2.50,10.00,10.00,13.10,57.50
Togo,Sub-Saharan Africa,35.50,29.60,28.10,67.80,77.00,24.50,50.40,46.70,79.10,69.40,65.00,30.00,50.30,12.90,4.40,5.50,1659.00,1.80,-0.70,145.60,78.60,10.30,45.00,27.00,21.50,27.70
Tonga,Asia-Pacific,59.20,26.60,38.10,85.50,40.90,93.40,75.30,69.90,69.40,73.60,40.00,20.00,57.70,0.60,3.10,2.40,5608.00,1.10,8.00,13.80,48.00,5.70,20.00,25.00,20.70,44.40
Trinidad and Tobago,Americas,52.30,40.60,32.90,82.30,61.90,16.60,67.80,75.60,75.10,68.40,60.00,50.00,57.00,43.00,-2.60,-1.30,31367.00,4.80,1.90,178.70,41.30,8.30,25.00,25.00,22.80,35.70
Tunisia,Middle East and North Africa,49.20,42.70,36.60,74.40,74.40,37.90,76.70,50.30,76.00,71.40,45.00,30.00,55.40,135.40,1.90,1.70,11755.00,15.40,5.30,879.50,71.30,9.30,35.00,30.00,20.80,29.20
Turkey,Europe,55.80,49.80,41.20,76.40,65.10,92.20,66.00,49.20,70.00,79.60,70.00,60.00,64.60,2173.20,7.00,6.00,26893.00,11.30,11.10,10864.00,28.50,2.70,35.00,22.00,25.50,34.10
Turkmenistan,Asia-Pacific,31.60,29.80,20.30,95.90,92.00,92.30,30.00,20.00,73.40,76.00,10.00,10.00,48.40,103.50,6.50,7.90,18126.00,3.40,8.00,2313.50,28.80,2.00,10.00,8.00,15.60,16.40
Uganda,Sub-Saharan Africa,42.20,38.50,25.40,73.30,88.70,68.60,46.30,83.20,80.10,75.40,55.00,40.00,59.70,88.70,4.50,4.30,2354.00,2.10,5.60,699.70,39.00,7.30,40.00,30.00,12.90,19.40
Ukraine,Europe,43.90,31.50,29.60,81.80,46.90,82.60,66.10,46.70,58.60,75.00,35.00,30.00,52.30,368.80,2.50,-2.30,8713.00,9.50,14.40,2202.00,75.60,2.50,20.00,18.00,33.10,42.10
United Arab Emirates,Middle East and North Africa,81.80,87.10,78.80,99.20,68.80,88.90,79.90,81.10,80.90,84.40,40.00,60.00,77.60,686.80,0.50,3.30,67741.00,1.70,2.00,10354.20,19.50,2.80,0.00,0.00,8.90,32.30
United Kingdom,Europe,92.30,85.90,83.80,64.70,48.20,68.60,92.90,73.50,81.20,86.00,90.00,80.00,78.90,2914.00,1.80,2.20,44118.00,4.30,2.70,15090.00,87.00,2.00,45.00,20.00,33.20,41.60
United States,Americas,79.30,78.60,77.40,75.10,57.10,53.10,83.80,89.40,76.60,86.60,85.00,80.00,76.80,19390.60,2.30,2.20,59501.00,4.40,2.10,275381.00,107.80,1.70,37.00,21.00,26.00,37.80
Uruguay,Americas,68.30,58.90,69.20,77.20,67.50,69.90,74.30,71.90,72.90,78.60,85.00,30.00,68.60,78.10,3.10,2.60,22371.00,7.90,6.20,-124.60,66.20,5.70,30.00,25.00,27.40,32.90
Uzbekistan,Asia-Pacific,49.80,34.30,25.20,91.30,67.40,98.70,72.50,58.70,58.90,62.60,10.00,10.00,53.30,222.60,5.30,7.40,6929.00,7.20,12.50,95.80,24.50,8.70,22.00,7.50,18.20,33.00
Vanuatu,Asia-Pacific,65.90,36.40,51.90,97.30,54.10,15.30,52.40,58.80,75.00,64.40,65.00,40.00,56.40,0.80,4.20,2.40,2739.00,5.20,3.10,24.70,48.40,7.80,0.00,0.00,16.30,39.10
Venezuela,Americas,7.60,13.10,7.90,74.70,58.10,17.60,33.90,28.00,0.00,60.00,0.00,10.00,25.90,380.70,-14.00,-7.80,12114.00,7.70,1087.50,-68.00,34.90,10.00,34.00,34.00,14.90,37.40
Vietnam,Asia-Pacific,49.80,40.30,34.00,79.70,74.10,40.70,63.50,62.80,68.90,79.20,30.00,40.00,55.30,647.40,6.80,6.20,6913.00,2.10,3.50,14100.00,58.20,2.90,35.00,22.00,18.00,29.40
Zambia,Sub-Saharan Africa,45.00,35.60,32.30,72.30,80.10,12.30,71.10,46.00,70.30,72.60,55.00,50.00,53.60,68.90,3.60,4.00,3996.00,7.80,6.60,1091.20,62.20,6.20,35.00,35.00,17.90,25.80
Zimbabwe,Sub-Saharan Africa,29.70,24.80,15.80,62.30,74.50,23.70,33.40,43.30,72.40,70.00,25.00,10.00,40.40,34.00,3.00,2.60,2283.00,5.00,1.30,289.40,78.40,5.00,51.50,25.00,22.30,29.20
